0,0,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,32,64,100,128,200,256
1,0,1.59E-17,-8.55E-17,-2.61E-17,-5.63E-17,-1.09E-16,-6.44E-17,-6.13E-17,-8.23E-17,-4.03E-16,-3.09E-16,-6.18E-16,-1.24E-15,-8.71E-16,-6.12E-16,-9.90E-16,-4.74E-14,-4.19E-10,-3.61E-09,-3.61E-09,-3.61E-09,-3.61E-09
0.904837418,0.1,0.068211035,0.021423045,0.002387122,0.005371437,0.008012657,0.006543155,0.005420637,0.005736327,0.005950747,0.004013002,0.004020661,0.004016862,0.004014962,0.004014012,0.004133517,0.004082321,0.004082309,0.004082309,0.004082309,0.004082309,0.004082309
0.818730753,0.2,0.110344416,0.034262605,0.004504067,0.008590722,0.009946068,0.009270786,0.005886678,0.005910983,0.005950748,0.004013356,0.004020663,0.004016863,0.004014964,0.004014102,0.004135609,0.004153222,0.004153227,0.004153227,0.004153227,0.004153227,0.004153227
0.740818221,0.3,0.130498578,0.039756554,0.006190539,0.00996823,0.010211333,0.00986763,0.005960334,0.0059196,0.00595075,0.004204975,0.004020676,0.004016877,0.004014977,0.004057723,0.004143038,0.004153673,0.004153675,0.004153675,0.004153675,0.004153675,0.004153675
0.670320046,0.4,0.139546975,0.041763328,0.007422951,0.010471394,0.010244297,0.009980353,0.005976187,0.005920036,0.005950755,0.005936776,0.004020873,0.004017074,0.004015199,0.004256505,0.004258826,0.004153906,0.00415388,0.00415388,0.00415388,0.00415388,0.00415388
0.60653066,0.5,0.143645626,0.042453146,0.008267883,0.010644355,0.010248344,0.010002002,0.00597973,0.005920075,0.005950774,0.005966073,0.00402441,0.004020457,0.004913218,0.004708663,0.004709113,0.004787358,0.004787377,0.004787377,0.004787377,0.004787377,0.004787377
0.548811636,0.6,0.145544642,0.042685274,0.008822131,0.010702561,0.010248845,0.010006271,0.005980578,0.005920138,0.005950835,0.005966184,0.004162833,0.004082296,0.005030219,0.00480698,0.004789963,0.004892124,0.004892148,0.004892148,0.004892148,0.004892148,0.004892148
0.496585304,0.7,0.146442812,0.042762832,0.009175249,0.010722015,0.010248916,0.010007135,0.005980971,0.005920355,0.005951052,0.005966401,0.005864372,0.00534905,0.005350042,0.005341796,0.005268104,0.005257633,0.00525763,0.00525763,0.00525763,0.00525763,0.00525763
0.449328964,0.8,0.146874382,0.042788695,0.009396083,0.010728515,0.010248942,0.010007333,0.005981789,0.005921134,0.005951831,0.00596718,0.005971775,0.005818337,0.005816447,0.005815311,0.005793075,0.005790557,0.005790556,0.005790556,0.005790556,0.005790556,0.005790556
0.40656966,0.9,0.147084103,0.042797338,0.009532638,0.01073071,0.01024898,0.010007421,0.005984621,0.005923958,0.005954655,0.005970005,0.005976811,0.005886076,0.005884181,0.005883187,0.005868927,0.005867568,0.005867567,0.005867567,0.005867567,0.005867567,0.005867567
0.367879441,1,0.147186805,0.042800273,0.009616602,0.0107315,0.010249052,0.010007543,0.005994911,0.005934246,0.005964944,0.005980294,0.005987517,0.005901198,0.005899302,0.005898351,0.005884668,0.005883396,0.005883396,0.005883396,0.005883396,0.005883396,0.005883396
0.332871084,1.1,0.147237356,0.042801364,0.009668303,0.01073188,0.010249193,0.010007791,0.006032419,0.005971755,0.006002454,0.006017804,0.006025237,0.005942219,0.005940323,0.005939437,0.00592618,0.005924979,0.005924979,0.005924979,0.005924979,0.005924979,0.005924979
0.301194212,1.2,0.147262319,0.042801952,0.009700741,0.010732238,0.010249471,0.010008348,0.006168298,0.006107634,0.006138337,0.006153689,0.006161244,0.006089979,0.006088083,0.006087337,0.006075559,0.006074589,0.006074588,0.006074588,0.006074588,0.006074588,0.006074588
0.272531793,1.3,0.147274673,0.042802592,0.009722631,0.010732834,0.010250039,0.010009754,0.006647217,0.006586506,0.006617224,0.006632584,0.006640227,0.006610691,0.006608796,0.00660809,0.006601534,0.006601316,0.006601316,0.006601316,0.006601316,0.006601316,0.006601316
0.246596964,1.4,0.147280795,0.042803687,0.009741011,0.010734113,0.010251306,0.010014636,0.00818081,0.00811971,0.008150473,0.008165856,0.008173677,0.008278436,0.008276545,0.008275141,0.008285388,0.00828747,0.008287471,0.008287471,0.008287471,0.008287471,0.008287471
0.22313016,1.5,0.14728383,0.042805805,0.009764832,0.010737701,0.010254877,0.010046708,0.011913314,0.011851751,0.011882617,0.011898057,0.011908477,0.012335176,0.012333292,0.01233233,0.012383071,0.012391002,0.012391004,0.012391004,0.012391004,0.012391004,0.012391004
0.201896518,1.6,0.147285337,0.042810008,0.009816138,0.010752666,0.010269773,0.010487263,0.018717222,0.018656656,0.018687728,0.018703272,0.019267187,0.019877266,0.019852058,0.019868322,0.019994041,0.020011809,0.020011813,0.020011813,0.020011813,0.020011813,0.020011813
0.182683524,1.7,0.147286084,0.042818394,0.009998333,0.010840126,0.010356873,0.018206983,0.03720797,0.037116911,0.037143657,0.039895222,0.047006542,0.047002907,0.047001089,0.0459688,0.045774937,0.046297451,0.046297578,0.046297578,0.046297578,0.046297578,0.046297578
0.165298888,1.8,0.147286456,0.042835158,0.011152357,0.011435795,0.010949768,0.040348631,0.05109485,0.053019945,0.050971884,0.06709402,0.062322011,0.062566292,0.062712322,0.061870956,0.061740391,0.061809564,0.061809544,0.061809544,0.061809544,0.061809544,0.061809544
0.149568619,1.9,0.14728664,0.042868714,0.022663726,0.01583414,0.014986236,0.079509584,0.085712368,0.069628631,0.069661437,0.069647242,0.064779374,0.064769618,0.064771649,0.064772665,0.064774718,0.065120524,0.065120609,0.065120609,0.065120609,0.065120609,0.065120609
